"filename", "language", "Python", "HTML", "CSS", "JavaScript", "XML", "Markdown", "comment", "blank", "total"
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\accounts\templates\partials\_footer.html", "HTML", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\accounts\templates\partials\_navbar.html", "HTML", 0, 30, 0, 0, 0, 0, 2, 4, 36
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\accounts\templates\partials\_project_navbar.html", "HTML", 0, 74, 0, 0, 0, 0, 1, 6, 81
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\accounts\tests.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\accounts\tokens.py", "Python", 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\accounts\urls.py", "Python", 17, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\accounts\views.py", "Python", 131, 0, 0, 0, 0, 0, 3, 28, 162
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\backend\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\backend\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\backend\routing.py", "Python", 10, 0, 0, 0, 0, 0, 1, 1, 12
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\backend\settings.py", "Python", 104, 0, 0, 0, 0, 0, 27, 41, 172
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\backend\static\cal\style.css", "CSS", 0, 0, 39, 0, 0, 0, 0, 8, 47
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\backend\urls.py", "Python", 11, 0, 0, 0, 0, 0, 15, 5, 31
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\backend\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\board\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\board\admin.py", "Python", 3, 0, 0, 0, 0, 0, 1, 3, 7
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\board\apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\board\forms.py", "Python", 10, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\board\migrations\0001_initial.py", "Python", 18, 0, 0, 0, 0, 0, 1, 7, 26
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\board\migrations\0002_auto_20200605_2027.py", "Python", 13, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\board\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Chin\Documents\GitHub\workaholic\workaholic\backend\board\models.py", "Python", 6, 0, 0, 0, 0, 0, 1, 5, 12
